log_id,check_timestamp,source_file,total_records,passed_records,failed_records,pass_rate,check_details
1,2026-02-19 02:53:19.914516,yellow_tripdata_2024-01.parquet,2964624,2926912,37712,98.73,"[{""name"": ""pickup_datetime_not_null"", ""failed"": 0, ""passed"": 2964624, ""severity"": ""critical"", ""pass_rate"": 100.0}, {""name"": ""dropoff_datetime_not_null"", ""failed"": 0, ""passed"": 2964624, ""severity"": ""critical"", ""pass_rate"": 100.0}, {""name"": ""fare_amount_not_null"", ""failed"": 0, ""passed"": 2964624, ""severity"": ""critical"", ""pass_rate"": 100.0}, {""name"": ""total_amount_not_null"", ""failed"": 0, ""passed"": 2964624, ""severity"": ""critical"", ""pass_rate"": 100.0}, {""name"": ""trip_distance_not_null"", ""failed"": 0, ""passed"": 2964624, ""severity"": ""critical"", ""pass_rate"": 100.0}, {""name"": ""pu_location_not_null"", ""failed"": 0, ""passed"": 2964624, ""severity"": ""critical"", ""pass_rate"": 100.0}, {""name"": ""do_location_not_null"", ""failed"": 0, ""passed"": 2964624, ""severity"": ""critical"", ""pass_rate"": 100.0}, {""name"": ""fare_amount_range"", ""failed"": 37494, ""passed"": 2927130, ""severity"": ""critical"", ""pass_rate"": 98.74}, {""name"": ""total_amount_range"", ""failed"": 35511, ""passed"": 2929113, ""severity"": ""critical"", ""pass_rate"": 98.8}, {""name"": ""trip_distance_range"", ""failed"": 31, ""passed"": 2964593, ""severity"": ""critical"", ""pass_rate"": 100.0}, {""name"": ""passenger_count_range"", ""failed"": 0, ""passed"": 2964624, ""severity"": ""warning"", ""pass_rate"": 100.0}, {""name"": ""tip_amount_range"", ""failed"": 111, ""passed"": 2964513, ""severity"": ""critical"", ""pass_rate"": 100.0}, {""name"": ""tolls_amount_range"", ""failed"": 2035, ""passed"": 2962589, ""severity"": ""critical"", ""pass_rate"": 99.93}, {""name"": ""payment_type_valid"", ""failed"": 140162, ""passed"": 2824462, ""severity"": ""warning"", ""pass_rate"": 95.27}, {""name"": ""vendor_id_valid"", ""failed"": 260, ""passed"": 2964364, ""severity"": ""warning"", ""pass_rate"": 99.99}, {""name"": ""ratecode_valid"", ""failed"": 0, ""passed"": 2964624, ""severity"": ""warning"", ""pass_rate"": 100.0}, {""name"": ""pickup_year_valid"", ""failed"": 5, ""passed"": 2964619, ""severity"": ""critical"", ""pass_rate"": 100.0}, {""name"": ""dropoff_after_pickup"", ""failed"": 56, ""passed"": 2964568, ""severity"": ""critical"", ""pass_rate"": 100.0}]"
2,2026-02-19 02:53:36.058269,yellow_tripdata_2024-02.parquet,3007526,2971385,36141,98.8,"[{""name"": ""pickup_datetime_not_null"", ""failed"": 0, ""passed"": 3007526, ""severity"": ""critical"", ""pass_rate"": 100.0}, {""name"": ""dropoff_datetime_not_null"", ""failed"": 0, ""passed"": 3007526, ""severity"": ""critical"", ""pass_rate"": 100.0}, {""name"": ""fare_amount_not_null"", ""failed"": 0, ""passed"": 3007526, ""severity"": ""critical"", ""pass_rate"": 100.0}, {""name"": ""total_amount_not_null"", ""failed"": 0, ""passed"": 3007526, ""severity"": ""critical"", ""pass_rate"": 100.0}, {""name"": ""trip_distance_not_null"", ""failed"": 0, ""passed"": 3007526, ""severity"": ""critical"", ""pass_rate"": 100.0}, {""name"": ""pu_location_not_null"", ""failed"": 0, ""passed"": 3007526, ""severity"": ""critical"", ""pass_rate"": 100.0}, {""name"": ""do_location_not_null"", ""failed"": 0, ""passed"": 3007526, ""severity"": ""critical"", ""pass_rate"": 100.0}, {""name"": ""fare_amount_range"", ""failed"": 40696, ""passed"": 2966830, ""severity"": ""critical"", ""pass_rate"": 98.65}, {""name"": ""total_amount_range"", ""failed"": 36081, ""passed"": 2971445, ""severity"": ""critical"", ""pass_rate"": 98.8}, {""name"": ""trip_distance_range"", ""failed"": 44, ""passed"": 3007482, ""severity"": ""critical"", ""pass_rate"": 100.0}, {""name"": ""passenger_count_range"", ""failed"": 0, ""passed"": 3007526, ""severity"": ""warning"", ""pass_rate"": 100.0}, {""name"": ""tip_amount_range"", ""failed"": 115, ""passed"": 3007411, ""severity"": ""critical"", ""pass_rate"": 100.0}, {""name"": ""tolls_amount_range"", ""failed"": 2260, ""passed"": 3005266, ""severity"": ""critical"", ""pass_rate"": 99.92}, {""name"": ""payment_type_valid"", ""failed"": 185610, ""passed"": 2821916, ""severity"": ""warning"", ""pass_rate"": 93.83}, {""name"": ""vendor_id_valid"", ""failed"": 0, ""passed"": 3007526, ""severity"": ""warning"", ""pass_rate"": 100.0}, {""name"": ""ratecode_valid"", ""failed"": 0, ""passed"": 3007526, ""severity"": ""warning"", ""pass_rate"": 100.0}, {""name"": ""pickup_year_valid"", ""failed"": 2, ""passed"": 3007524, ""severity"": ""critical"", ""pass_rate"": 100.0}, {""name"": ""dropoff_after_pickup"", ""failed"": 7, ""passed"": 3007519, ""severity"": ""critical"", ""pass_rate"": 100.0}]"
3,2026-02-19 02:53:54.21501,yellow_tripdata_2024-03.parquet,3582628,3538093,44535,98.76,"[{""name"": ""pickup_datetime_not_null"", ""failed"": 0, ""passed"": 3582628, ""severity"": ""critical"", ""pass_rate"": 100.0}, {""name"": ""dropoff_datetime_not_null"", ""failed"": 0, ""passed"": 3582628, ""severity"": ""critical"", ""pass_rate"": 100.0}, {""name"": ""fare_amount_not_null"", ""failed"": 0, ""passed"": 3582628, ""severity"": ""critical"", ""pass_rate"": 100.0}, {""name"": ""total_amount_not_null"", ""failed"": 0, ""passed"": 3582628, ""severity"": ""critical"", ""pass_rate"": 100.0}, {""name"": ""trip_distance_not_null"", ""failed"": 0, ""passed"": 3582628, ""severity"": ""critical"", ""pass_rate"": 100.0}, {""name"": ""pu_location_not_null"", ""failed"": 0, ""passed"": 3582628, ""severity"": ""critical"", ""pass_rate"": 100.0}, {""name"": ""do_location_not_null"", ""failed"": 0, ""passed"": 3582628, ""severity"": ""critical"", ""pass_rate"": 100.0}, {""name"": ""fare_amount_range"", ""failed"": 58494, ""passed"": 3524134, ""severity"": ""critical"", ""pass_rate"": 98.37}, {""name"": ""total_amount_range"", ""failed"": 44312, ""passed"": 3538316, ""severity"": ""critical"", ""pass_rate"": 98.76}, {""name"": ""trip_distance_range"", ""failed"": 95, ""passed"": 3582533, ""severity"": ""critical"", ""pass_rate"": 100.0}, {""name"": ""passenger_count_range"", ""failed"": 0, ""passed"": 3582628, ""severity"": ""warning"", ""pass_rate"": 100.0}, {""name"": ""tip_amount_range"", ""failed"": 130, ""passed"": 3582498, ""severity"": ""critical"", ""pass_rate"": 100.0}, {""name"": ""tolls_amount_range"", ""failed"": 3291, ""passed"": 3579337, ""severity"": ""critical"", ""pass_rate"": 99.91}, {""name"": ""payment_type_valid"", ""failed"": 426190, ""passed"": 3156438, ""severity"": ""warning"", ""pass_rate"": 88.1}, {""name"": ""vendor_id_valid"", ""failed"": 460, ""passed"": 3582168, ""severity"": ""warning"", ""pass_rate"": 99.99}, {""name"": ""ratecode_valid"", ""failed"": 0, ""passed"": 3582628, ""severity"": ""warning"", ""pass_rate"": 100.0}, {""name"": ""pickup_year_valid"", ""failed"": 2, ""passed"": 3582626, ""severity"": ""critical"", ""pass_rate"": 100.0}, {""name"": ""dropoff_after_pickup"", ""failed"": 117, ""passed"": 3582511, ""severity"": ""critical"", ""pass_rate"": 100.0}]"
